Created with UCDetector 2.0.0	2022-10-14 17:06:56	http://www.ucdetector.org/	Created by class: org.ucdetector.report.TextReport	
Location	Description	Java	Marker	Author
simulator.CirSim.triggerShow(CirSim.java:216)	Method "CirSim.triggerShow()" has 0 references	CirSim.triggerShow()	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.register(CirSim.java:222)	Method "CirSim.register(Class,CircuitElm)" has 0 references	CirSim.register(Class,CircuitElm)	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.setupScopes(CirSim.java:262)	Method "CirSim.setupScopes()" has 0 references	CirSim.setupScopes()	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.getHint(CirSim.java:324)	Method "CirSim.getHint()" has 0 references	CirSim.getHint()	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.dbimage(CirSim.java:66)	Field "CirSim.dbimage" has 0 references	CirSim.dbimage	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.random(CirSim.java:68)	Change visibility of Field "CirSim.random" to private	CirSim.random	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.exportItem(CirSim.java:76)	Field "CirSim.exportItem" has 0 references	CirSim.exportItem	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.exportLinkItem(CirSim.java:76)	Field "CirSim.exportLinkItem" has 0 references	CirSim.exportLinkItem	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.importItem(CirSim.java:76)	Field "CirSim.importItem" has 0 references	CirSim.importItem	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.exitItem(CirSim.java:76)	Field "CirSim.exitItem" has 0 references	CirSim.exitItem	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.undoItem(CirSim.java:76)	Change visibility of Field "CirSim.undoItem" to private	CirSim.undoItem	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.redoItem(CirSim.java:76)	Change visibility of Field "CirSim.redoItem" to private	CirSim.redoItem	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.cutItem(CirSim.java:76)	Field "CirSim.cutItem" has 0 references	CirSim.cutItem	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.copyItem(CirSim.java:76)	Field "CirSim.copyItem" has 0 references	CirSim.copyItem	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.pasteItem(CirSim.java:76)	Change visibility of Field "CirSim.pasteItem" to private	CirSim.pasteItem	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.selectAllItem(CirSim.java:77)	Field "CirSim.selectAllItem" has 0 references	CirSim.selectAllItem	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.optionsItem(CirSim.java:77)	Field "CirSim.optionsItem" has 0 references	CirSim.optionsItem	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.optionsMenu(CirSim.java:78)	Change visibility of Field "CirSim.optionsMenu" to private	CirSim.optionsMenu	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.conductanceCheckItem(CirSim.java:85)	Field "CirSim.conductanceCheckItem" has 0 references	CirSim.conductanceCheckItem	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.conventionCheckItem(CirSim.java:88)	Field "CirSim.conventionCheckItem" has 0 references	CirSim.conventionCheckItem	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.idealWireCheckItem(CirSim.java:89)	Field "CirSim.idealWireCheckItem" has 0 references	CirSim.idealWireCheckItem	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.speedBar(CirSim.java:90)	Change visibility of Field "CirSim.speedBar" to private	CirSim.speedBar	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.currentBar(CirSim.java:91)	Change visibility of Field "CirSim.currentBar" to private	CirSim.currentBar	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.powerLabel(CirSim.java:92)	Change visibility of Field "CirSim.powerLabel" to private	CirSim.powerLabel	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.powerBar(CirSim.java:93)	Change visibility of Field "CirSim.powerBar" to private	CirSim.powerBar	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.elmMenu(CirSim.java:94)	Change visibility of Field "CirSim.elmMenu" to private	CirSim.elmMenu	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.elmEditMenuItem(CirSim.java:95)	Change visibility of Field "CirSim.elmEditMenuItem" to private	CirSim.elmEditMenuItem	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.elmCutMenuItem(CirSim.java:96)	Field "CirSim.elmCutMenuItem" has 0 references	CirSim.elmCutMenuItem	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.elmCopyMenuItem(CirSim.java:97)	Field "CirSim.elmCopyMenuItem" has 0 references	CirSim.elmCopyMenuItem	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.elmDeleteMenuItem(CirSim.java:98)	Field "CirSim.elmDeleteMenuItem" has 0 references	CirSim.elmDeleteMenuItem	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.elmScopeMenuItem(CirSim.java:99)	Change visibility of Field "CirSim.elmScopeMenuItem" to private	CirSim.elmScopeMenuItem	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.mainMenu(CirSim.java:102)	Change visibility of Field "CirSim.mainMenu" to private	CirSim.mainMenu	org.ucdetector.analyzeMarkerVisibilityPrivate	
