Created with UCDetector 2.0.0	2022-10-17 10:28:45	http://www.ucdetector.org/	Created by class: org.ucdetector.report.TextReport	
Location	Description	Java	Marker	Author
simulator.CirSim.MODE_SELECT(CirSim.java:39)	Change visibility of Constant "CirSim.MODE_SELECT" to private	CirSim.MODE_SELECT	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.gridMask(CirSim.java:42)	Change visibility of Field "CirSim.gridMask" to private	CirSim.gridMask	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.gridRound(CirSim.java:44)	Change visibility of Field "CirSim.gridRound" to private	CirSim.gridRound	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.stopMessage(CirSim.java:49)	Change visibility of Field "CirSim.stopMessage" to private	CirSim.stopMessage	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.menuElm(CirSim.java:59)	Field "CirSim.menuElm" has 0 references	CirSim.menuElm	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.stopElm(CirSim.java:63)	Change visibility of Field "CirSim.stopElm" to private	CirSim.stopElm	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.stopElm(CirSim.java:63)	Field "CirSim.stopElm" is never read	CirSim.stopElm	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.circuitMatrix(CirSim.java:67)	Change visibility of Field "CirSim.circuitMatrix" to private	CirSim.circuitMatrix	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.circuitRightSide(CirSim.java:67)	Change visibility of Field "CirSim.circuitRightSide" to private	CirSim.circuitRightSide	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.origRightSide(CirSim.java:67)	Change visibility of Field "CirSim.origRightSide" to private	CirSim.origRightSide	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.origMatrix(CirSim.java:67)	Change visibility of Field "CirSim.origMatrix" to private	CirSim.origMatrix	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.circuitRowInfo(CirSim.java:68)	Change visibility of Field "CirSim.circuitRowInfo" to private	CirSim.circuitRowInfo	org.ucdetector.analyzeMarkerVisibilityPrivate	
